claim_id,claim_text,source_paper_id,label,fabrication_type,notes
C001,Vision Transformer applies a pure transformer directly to sequences of image patches for classification.,2010.11929,GROUNDED,,straight paraphrase — safe positive baseline
C002,"With large-scale pretraining, ViT can match state-of-the-art CNNs while using less compute to train.",2010.11929,GROUNDED,,paraphrases the transfer + compute claim
C003,Vision Transformer achieves 96.5% top-1 accuracy on ImageNet without any pretraining.,2010.11929,FABRICATED,numeric_distortion,abstract makes no such accuracy claim; also contradicts the pretraining requirement
C004,ViT outperforms all CNN architectures across every image recognition benchmark tested to date.,2010.11929,FABRICATED,scope_overreach,abstract only claims 'excellent results compared to SOTA' on the tested benchmarks — not 'all CNN architectures on every benchmark'
C005,The Vision Transformer paper introduced the concept of self-attention.,2010.11929,FABRICATED,wrong_attribution,self-attention predates ViT (Vaswani 2017); paper only applies transformers to vision
C006,RAG combines a pre-trained parametric seq2seq model with a non-parametric dense vector index of Wikipedia.,2005.11401,GROUNDED,,direct paraphrase of the method
C007,RAG sets a new state of the art on three open-domain question answering tasks.,2005.11401,GROUNDED,,minor paraphrase of a specific quantitative claim
C008,Using RAG causes the model's factual accuracy to improve by exactly 12% on all NLP tasks.,2005.11401,FABRICATED,numeric_distortion,abstract has no such number; also 'causes' overstates
C009,The RAG paper shows retrieval-augmented models beat GPT-4 on open-domain QA.,2005.11401,FABRICATED,invented_comparison,GPT-4 comparison never appears in this 2020 abstract
C010,"Because RAG uses a differentiable retriever, it eliminates hallucinations in language generation.",2005.11401,FABRICATED,causal_overreach,"abstract discusses provenance and updates as 'open problems', not solved; no elimination claim"
C011,Fisher Vectors show natural resilience to rotations while CNNs lack a built-in mechanism for rotation invariance.,1508.02496v3,GROUNDED,,direct paraphrase of rotation-robustness finding
C012,"Neither CNN features nor Fisher Vectors consistently outperform the other across benchmarks, and combining them typically yields the best retrieval results.",1508.02496v3,GROUNDED,,restates 'no systematic winner + combining helps' in different words
C013,Fisher Vectors outperform CNNs by 12% on rotated images across all benchmarks tested,1508.02496v3,FABRICATED,numeric_distortion,abstract makes no numeric claim about rotation — invented 12%
C014,CNN-based descriptors are strictly better than Fisher Vectors for all image retrieval tasks.,1508.02496v3,FABRICATED,scope_overreach,abstract explicitly says no descriptor is systematically better
C015,Fisher Vectors outperform the ViT-based retrieval baseline on standard benchmarks,1508.02496v3,FABRICATED,invented_comparison,2015 paper never compares to ViT (2020)
C016,PSRD reduces the hallucination rate of LLaVA-1.5-7B by 50.0% and outperforms existing post-hoc methods across five hallucination benchmarks,2604.17982v1,GROUNDED,,direct paraphrase of the headline numeric result
C017,Vision hallucinations in LVLMs follow a temporal pattern where they spike at the onset of each new semantic phase during generation.,2604.17982v1,GROUNDED,,restates the phase-wise dynamic-pattern finding using different phrasing
C018,PSRD reduces the hallucination rate of LLaVA-1.5-7B by 65% across evaluation benchmarks,2604.17982v1,FABRICATED,numeric_distortion,changed 50.0% → 65% while keeping the rest identical
C019,PSRD consistently outperforms all existing hallucination mitigation methods across every publicly available LVLM benchmark,2604.17982v1,FABRICATED,scope_overreach,abstract says 'existing post-hoc methods across five benchmarks for four LVLMs' — 'all methods on every benchmark' is a strict superset
C020,The PSRD framework reduces hallucination by fine-tuning LLaVA-1.5-7B on large-scale annotated data.,2604.17982v1,FABRICATED,wrong_attribution,abstract explicitly says PSRD works at inference time 'without external supervision' — this attributes a different method (fine-tuning) to it
C021,"On a controlled financial QA dataset with GPT-3.5-turbo, ECLIPSE achieves ROC AUC of 0.89 and average precision of 0.90",2512.03107v1,GROUNDED,,direct paraphrase of the headline evaluation result
C022,"ECLIPSE substantially outperforms a semantic-entropy-only baseline, which achieves ROC AUC of only 0.50 on the same financial QA benchmark",2512.03107v1,GROUNDED,,restates the baseline comparison using different word order
C023,"On the financial QA benchmark, ECLIPSE achieves ROC AUC of 0.94 and average precision of 0.95",2512.03107v1,FABRICATED,numeric_distortion,bumped 0.89 → 0.94 and 0.90 → 0.95 while keeping framing identical
C024,"Because ECLIPSE is logprob-native, it will fail on any model that does not expose token-level log probabilities",2512.03107v1,FABRICATED,causal_overreach,"abstract shows Claude-3-Haiku ablation dropped to AUC 0.59 (still above chance, not zero) — 'will fail on any' is stronger than the observed degradation"
C025,ECLIPSE outperforms retrieval-augmented generation (RAG) baselines on the financial QA benchmark,2512.03107v1,FABRICATED,invented_comparison,abstract never compares ECLIPSE to RAG — the only baseline mentioned is semantic-entropy-only
